Macrobrochis lucida | Species of moth | species of insect | Macrobrochis lucida is a moth of the subfamily Arctiinae. It was described by Fang in 1990.
Macroglossum belis | Species of moth | species of moth | Macroglossum belis, the common hummingbird hawkmoth, is a moth of the family Sphingidae.
Martyringa hoenei | Species of moth | species of insect | Martyringa hoenei is a moth in the family Lecithoceridae. It was described by Alexandr L. Lvovsky in 2010.
Mesastrape fulguraria | Species of moth | species of insect | Mesastrape fulguraria is a moth in the family Geometridae. It is found in Japan, Taiwan and China.
Metriochroa alboannulata | Species of moth | species of insect | Metriochroa alboannulata is a moth of the family Gracillariidae. It is found in China Jiangxi.The wingspan is 6.57.5 mm.
Micrarctia | Genus of moths | genus of insects | Micrarctia is a monotypic tiger moth genus in the family Erebidae described by Seitz in 1910. Its only species, M.
Miltochrista convexa | Species of moth | species of insect | Miltochrista convexa is a moth of the family Erebidae. It was described by Wileman in 1910.
Miltochrista decussata | Species of moth | species of insect | Miltochrista decussata is a moth of the family Erebidae. It was described by Frederic Moore in 1877.
Miltochrista delineata | Species of moth | species of insect | Miltochrista delineata is a moth of the family Erebidae. It was described by Francis Walker in 1854.
Miltochrista fasciata | Species of moth | species of insect | Miltochrista fasciata is a moth of the family Erebidae. It was described by John Henry Leech in 1899.
Miltochrista flexuosa | Species of moth | species of insect | Miltochrista flexuosa is a moth of the family Erebidae. It was described by John Henry Leech in 1899.
Miltochrista inscripta | Species of moth | species of insect | Miltochrista inscripta is a moth of the family Erebidae. It was described by Francis Walker in 1854.
Miltochrista sanguinea | Species of moth | species of insect | Miltochrista sanguinea is a moth of the family Erebidae. It was described by Frederic Moore in 1877.
Miltochrista ziczac | Species of moth | species of insect | Miltochrista ziczac is a moth of the family Erebidae. It was described by Francis Walker in 1856. It is found in China.
Mimicia | Genus of moths | species of insect | Mimicia is a monotypic snout moth genus described by Aristide Caradja in 1925.
Mocis ancilla | Species of moth | species of insect | Mocis ancilla is a species of moth of the family Erebidae.
Mocis annetta | Species of moth | species of insect | Mocis annetta is a species of moth of the family Erebidae.
Mocis inferna | Species of moth | species of insect | Mocis inferna  is a moth of the family Erebidae. It is found in China.
Monema meyi | Species of moth | species of insect | Monema meyi is a moth of the family Limacodidae.
Monema tanaognatha | Species of moth | species of insect | Monema tanaognatha is a moth of the family Limacodidae.
Murzinarctia | Genus of moths | genus of insects | Murzinarctia is a monotypic moth genus in the subfamily Arctiinae.
Murzinoria | Genus of moths | genus of insects | Murzinoria is a monotypic moth genus in the subfamily Arctiinae.
Murzinowatsonia | Genus of moths | genus of insects | Murzinowatsoniia is a monotypic moth genus in the subfamily Arctiinae erected by Vladimir Viktorovitch Dubatolov in 2003
Mustilia zolotuhini | Species of moth | species of insect | Mustilia zolotuhini is a moth in the Endromidae family. It was described by Saldaitis and Ivinskis in 2015.
Nacoleia immundalis | Species of moth | species of insect | Nacoleia immundalis is a moth in the family Crambidae. It was described by South in 1901. It is found in China Hubei.
Nacoleia perstygialis | Species of moth | species of insect | Nacoleia perstygialis is a moth in the family Crambidae. It was described by George Hampson in 1912.
Nacoleia subalbalis | Species of moth | species of insect | Nacoleia subalbalis is a moth in the family Crambidae. It was described by George Hampson in 1912. It is found in China.
Nannoarctia tripartita | Species of moth | species of insect | Nannoarctia tripartita is a moth of the family Erebidae first described by Francis Walker in 1855.
Nematopogon chalcophyllis | Species of moth | species of insect | Nematopogon chalcophyllis is a moth of the family Adelidae or fairy longhorn moths.
Nemophora divina | Species of moth | species of insect | Nemophora divina is a moth of the Adelidae family. It is found in continental China.
Nosophora insignis | Species of moth | species of insect | Nosophora insignis is a moth in the family Crambidae. It was described by Arthur Gardiner Butler in 1881.
Nosphistica fenestrata | Species of moth | species of insect | Nosphistica fenestrata is a moth in the family Lecithoceridae. It is found in Taiwan and southeastern China Fujian.
Nosphistica minutispina | Species of moth |  | Nosphistica minutispina is a moth in the family Lecithoceridae. It was described by Chun-Sheng Wu in 1996.
Nosphistica orientana | Species of moth | species of insect | Nosphistica orientana is a moth in the family Lecithoceridae. It was described by Kyu-Tek Park in 2005.
Nosphistica parameocola | Species of moth | species of insect | Nosphistica parameocola is a moth in the family Lecithoceridae. It is found in Taiwan and southern China Hainan.
Obeidia gigantearia | Species of moth | species of insect | Obeidia gigantearia is a moth of the  family Geometridae. It is found in Taiwan and China.
Oberthueria jiatongae | Species of moth | species of insect | Oberthueria jiatongae is a moth in the Endromidae family.
Oberthueria yandu | Species of moth | species of insect | Oberthueria yandu is a moth in the Endromidae family.
Pachista | Genus of moths | species of insect | Pachista is a genus of moths in the family Geometridae described by Prout in 1912.
Pachyodes amplificata | Species of moth | species of insect | Pachyodes amplificata is a moth of the family Geometridae first described by Francis Walker in 1862.
Pachyodes jianfengensis | Species of moth | species of insect | Pachyodes jianfengensis is a moth of the family Geometridae first described by Hong-Xiang Han and Da-Yong Xue in 2008.
Pachyodes leucomelanaria | Species of moth | species of insect | Pachyodes leucomelanaria  is a moth of the family Geometridae first described by Gustave Arthur Poujade in 1895.
Pachyodes novata | Species of moth | species of insect | Pachyodes novata is a moth of the family Geometridae first described by Hong-Xiang Han and Da-Yong Xue in 2008.
Pachyodes ornataria | Species of moth | species of insect | Pachyodes ornataria is a moth of the family Geometridae first described by Frederic Moore in 1888.
Pachyodes subtritus | Species of moth | species of insect | Pachyodes subtritus is a moth of the family Geometridae first described by Louis Beethoven Prout in 1914.
Palpita curvispina | Species of moth | species of insect | Palpita curvispina is a moth in the family Crambidae. It was described by Zhang and Li in 2005.
Palpita inusitata | Species of moth | species of insect | Palpita inusitata is a moth in the family Crambidae. It was described by Arthur Gardiner Butler in 1879.
Palpita minuscula | Species of moth | species of insect | Palpita minuscula is a moth in the family Crambidae. It was described by Inoue in 1996.
Palpita parvifraterna | Species of moth | species of insect | Palpita parvifraterna is a moth in the family Crambidae. It was described by Inoue in 1999.
Parasa minwangi | Species of moth | species of insect | Parasa minwangi is a moth of the family Limacodidae.
Parasa undulata | Species of moth | species of insect | Parasa undulata is a moth of the family Limacodidae.
Paraspilarctia klapperichi | Species of moth | species of insect | Paraspilarctia klapperichi is a moth of the family Erebidae. It was described by Franz Daniel in 1943.
Paratorna pterofulva | Species of moth | species of moth | Paratorna pterofulva is a species of moth of the family Tortricidae. It is found in China Sichuan.
Paratorna pteropolia | Species of moth | species of moth | Paratorna pteropolia is a species of moth of the family Tortricidae. It is found in China Sichuan.
Patania expictalis | Species of moth | species of insect | Patania expictalis is a moth in the family Crambidae. It was described by Hugo Theodor Christoph in 1881.
Patania iopasalis | Species of moth | species of insect | Patania iopasalis is a moth of the family Crambidae. It was described by Francis Walker in 1859.
Pediasia batangensis | Species of moth | species of insect | Pediasia batangensis is a moth in the family Crambidae. It was described by Aristide Caradja in 1939.
Pediasia dolicanthia | Species of moth | species of insect | Pediasia dolicanthia is a moth in the family Crambidae. It is found in China Xizang.
Pediasia echinulatia | Species of moth | species of insect | Pediasia echinulatia is a moth in the family Crambidae. It is found in China Beijing.
Pediasia jecondica | Species of moth | species of insect | Pediasia jecondica is a moth in the family Crambidae. It was described by Stanisaw Beszyski in 1965.
Pediasia perselloides | Species of moth | species of insect | Pediasia perselloides is a moth in the family Crambidae. It is found in China Zhejiang.
Pediasia yangtseella | Species of moth | species of insect | Pediasia yangtseella is a moth in the family Crambidae. It was described by Aristide Caradja in 1939.
Phalera flavescens | Species of moth | species of insect | Phalera flavescens is a moth of the  family Notodontidae. It is found in Taiwan, China, Japan and Korea.
Phragmataecia innotata | Species of moth | species of insect | Phragmataecia innotata is a species of moth of the family Cossidae.
Phrealcia steueri | Species of moth | species of insect | Phrealcia steueri is a species of moth of the family Ypsolophidae. It is found in Xinjiang, China.
Problepsis conjunctiva | Species of moth | species of insect | Problepsis conjunctiva is a moth of the  family Geometridae. It is found in India Sikkim, China Hainan and Taiwan.
Problepsis eucircota | Species of moth | species of insect | Problepsis eucircota is a moth of the  family Geometridae. It is found in China and Japan.
Problepsis paredra | Species of moth | species of moth | Problepsis paredra is a moth of the  family Geometridae. It is found in western China.
Problepsis phoebearia | Species of moth | species of moth | Problepsis phoebearia is a moth of the family Geometridae described by Nikolay Grigoryevich Erschoff in 1870.
Problepsis subreferta | Species of moth | species of moth | Problepsis subreferta is a moth of the  family Geometridae. It is found in China.
Pseudanabasis | Genus of moths | species of insect | Pseudanabasis is a genus of snout moth. It was described by Y.L. Du, S.M. Song and C.S. Wu in 2009.
Pseudiragoides florianii | Species of moth | species of insect | Pseudiragoides florianii is a species of moth of the family Limacodidae.
Pseudiragoides itsova | Species of moth | species of insect | Pseudiragoides itsova is a species of moth of the family Limacodidae.
Pseudostegania distinctaria | Species of moth | species of insect | Pseudostegania distinctaria is a moth in the family Geometridae. It is found in China Sichuan.
Pseudostegania lijiangensis | Species of moth | species of insect | Pseudostegania lijiangensis is a moth in the family Geometridae. It is found in China Yunnan.
Pseudostegania qinlingensis | Species of moth | species of insect | Pseudostegania qinlingensis is a moth in the family Geometridae. It is found in China Gansu, Shaanxi.
Pseudostegania straminearia | Species of moth | species of insect | Pseudostegania straminearia is a moth in the family Geometridae. It is found in China Sichuan.
Pseudostegania yargongaria | Species of moth | species of insect | Pseudostegania yargongaria is a moth in the family Geometridae. It is found in China.
Pseudostegania zhoui | Species of moth | species of insect | Pseudostegania zhoui is a moth in the family Geometridae. It is found in China Sichuan.
Pycnarmon chinensis | Species of moth | species of insect | Pycnarmon chinensis is a moth in the family Crambidae. It was described by South in 1901. It is found in China.
Pycnarmon geminipuncta | Species of moth | species of insect | Pycnarmon geminipuncta is a moth in the family Crambidae. It was described by George Hampson in 1912.
Pycnarmon radiata | Species of moth | species of insect | Pycnarmon radiata is a moth in the family Crambidae. It was described by William Warren in 1896.
Pyrausta bieti | Species of moth | species of insect | Pyrausta bieti is a moth in the family Crambidae. It was described by Oberthr in 1886. It is found in China Sichuan.
Pyrausta contigualis | Species of moth | species of insect | Pyrausta contigualis is a moth in the family Crambidae. It was described by South in 1901. It is found in China Sichuan.
Pyrausta contristalis | Species of moth | species of insect | Pyrausta contristalis is a moth in the family Crambidae. It was described by Aristide Caradja in 1932.
Pyrausta curvalis | Species of moth | species of insect | Pyrausta curvalis is a moth in the family Crambidae. It was described by John Henry Leech in 1889. It is found in China.
Pyrausta draesekei | Species of moth | species of insect | Pyrausta draesekei is a moth in the family Crambidae. It was described by Aristide Caradja in 1927.
Pyrausta ecteinalis | Species of moth | species of insect | Pyrausta ecteinalis is a moth in the family Crambidae. It was described by George Hampson in 1900.
Pyrausta genialis | Species of moth | species of insect | Pyrausta genialis is a moth in the family Crambidae. It was described by South in 1901. It is found in China.
Pyrausta griseocilialis | Species of moth | species of insect | Pyrausta griseocilialis is a moth in the family Crambidae. It was described by South in 1901. It is found in China.
Pyrausta hampsoni | Species of moth | species of insect | Pyrausta hampsoni is a moth in the family Crambidae. It was described by South in 1901. It is found in China.
Pyrausta leechi | Species of moth | species of insect | Pyrausta leechi is a moth in the family Crambidae. It was described by South in 1901. It is found in China.
Pyrausta mandarinalis | Species of moth | species of insect | Pyrausta mandarinalis is a moth in the family Crambidae. It was described by South in 1901.
Pyrausta moupinalis | Species of moth | species of insect | Pyrausta moupinalis is a moth in the family Crambidae. It was described by South in 1901. It is found in China Sichuan.
Pyrausta mystica | Species of moth | species of insect | Pyrausta mystica is a moth in the family Crambidae. It was described by Aristide Caradja in 1932.
Pyrausta oberthuri | Species of moth | species of insect | Pyrausta oberthuri is a moth in the family Crambidae. It was described by South in 1901. It is found in China Sichuan.
Pyrausta obstipalis | Species of moth | species of insect | Pyrausta obstipalis is a moth in the family Crambidae. It was described by South in 1901. It is found in China.
Pyrausta odontogrammalis | Species of moth | species of insect | Pyrausta odontogrammalis is a moth in the family Crambidae. It was described by Aristide Caradja in 1925.
Pyrausta persimilis | Species of moth | species of insect | Pyrausta persimilis is a moth in the family Crambidae. It was described by Aristide Caradja in 1932.
Pyrausta postalbalis | Species of moth | species of insect | Pyrausta postalbalis is a moth in the family Crambidae. It was described by South in 1901. It is found in China.
Pyrausta punctilinealis | Species of moth | species of insect | Pyrausta punctilinealis is a moth in the family Crambidae. It was described by South in 1901.
Pyrausta quadrimaculalis | Species of moth | species of insect | Pyrausta quadrimaculalis is a moth in the family Crambidae. It was described by South in 1901.
Pyrausta rectifascialis | Species of moth | species of insect | Pyrausta rectifascialis is a moth in the family Crambidae. It was described by Sauber in 1899. It is found in China.
Pyrausta rueckbeili | Species of moth | species of insect | Pyrausta rueckbeili is a moth in the family Crambidae. It was described by Sauber in 1899. It is found in China.
Pyrausta rufalis | Species of moth | species of insect | Pyrausta rufalis is a moth in the family Crambidae. It was described by South in 1901. It is found in China Sichuan.
Pyrausta splendida | Species of moth | species of insect | Pyrausta splendida is a moth in the family Crambidae. It was described by Aristide Caradja in 1938.
Pyrausta strigatalis | Species of moth | species of insect | Pyrausta strigatalis is a moth in the family Crambidae. It was described by Aristide Caradja in 1937.
Pyrausta subfuscalis | Species of moth | species of insect | Pyrausta subfuscalis is a moth in the family Crambidae. It was described by Aristide Caradja in 1933.
Pyrausta sumptuosalis | Species of moth | species of insect | Pyrausta sumptuosalis is a moth of the family Crambidae. It is found in Sichuan, China.
Pyrausta syfanialis | Species of moth | species of insect | Pyrausta syfanialis is a moth in the family Crambidae. It was described by Oberthr in 1893. It is found in China Tibet.
Pyrausta szetschwanalis | Species of moth | species of insect | Pyrausta szetschwanalis is a moth in the family Crambidae. It was described by Aristide Caradja in 1927.
Pyrausta tapaishanensis | Species of moth | species of insect | Pyrausta tapaishanensis is a moth in the family Crambidae. It was described by Aristide Caradja in 1939.
Pyrausta thibetalis | Species of moth | species of insect | Pyrausta thibetalis is a moth in the family Crambidae. It was described by Oberthr in 1886.
Pyrausta tortualis | Species of moth | species of insect | Pyrausta tortualis is a moth in the family Crambidae. It was described by South in 1901. It is found in China.
Pyrausta tschelialis | Species of moth | species of insect | Pyrausta tschelialis is a moth in the family Crambidae. It was described by Aristide Caradja in 1927.
Pyrausta zeitunalis | Species of moth | species of insect | Pyrausta zeitunalis is a moth in the family Crambidae. It was described by Aristide Caradja in 1916.
Rhagoba obvellata | Species of moth | species of insect | Rhagoba obvellata is a moth in the family Crambidae. It was described by Xi-Cui Du and Hou-Hun Li in 2012.
Rivula curvifera | Species of moth | species of insect | Rivula curvifera is a moth of the family Erebidae first described by Francis Walker in 1862.
Sciota obscurella | Species of moth | species of insect | Sciota obscurella is a species of snout moth. It is found in China Yunnan.
Scirpophaga adunctella | Species of moth | species of insect | Scirpophaga adunctella is a moth in the family Crambidae.
Scirpophaga auristrigellus | Species of moth | species of insect | Scirpophaga auristrigellus is a moth in the family Crambidae. It was described by George Hampson in 1896.
Scirpophaga gotoi | Species of moth | species of insect | Scirpophaga gotoi is a moth in the family Crambidae. It was described by Angoon Lewvanich in 1981.
Scirpophaga humilis | Species of moth | species of insect | Scirpophaga humilis is a moth in the family Crambidae. It was described by Wang, Li and Chen in 1986.
Scirpophaga khasis | Species of moth | species of insect | Scirpophaga khasis is a moth in the family Crambidae. It was described by Angoon Lewvanich in 1981.
Scirpophaga linguatella | Species of moth | species of insect | Scirpophaga linguatella is a moth in the family Crambidae.
Scirpophaga parvalis | Species of moth | species of insect | Scirpophaga parvalis is a moth in the family Crambidae. It was described by Alfred Ernest Wileman in 1911.
Scirpophaga whalleyi | Species of moth | species of insect | Scirpophaga whalleyi is a moth in the family Crambidae. It was described by Angoon Lewvanich in 1981.
Scythropiodes tribula | Species of moth | species of insect | Scythropiodes tribula is a moth in the family Lecithoceridae. It was described by Chun-Sheng Wu in 1997.
Semiothisa cinerearia | Species of moth | species of insect | Semiothisa cinerearia is a moth of the family Geometridae first described by Otto Vasilievich Bremer and Vasilii Fomich
Spatulignatha arcuata | Species of moth | species of insect | Spatulignatha arcuata is a moth in the family Lecithoceridae. It is found in China Guangdong, Hunan, Yunnan.
Spatulignatha chrysopteryx | Species of moth | species of insect | Spatulignatha chrysopteryx is a moth in the family Lecithoceridae. It is found in China.
Spatulignatha longizonalis | Species of moth | species of insect | Spatulignatha longizonalis is a moth in the family Lecithoceridae. It is found in China Guangxi.
Spilarctia nydia | Species of moth | species of insect | Spilarctia nydia is a moth in the family Erebidae. It was described by Arthur Gardiner Butler in 1875.
Spilarctia zhangmuna | Species of moth | species of insect | Spilarctia zhangmuna is a moth in the family Erebidae. It was described by Cheng-Lai Fang in 1982.
Spilosoma erythrozona | Species of moth | species of insect | Spilosoma erythrozona is a moth in the family Erebidae. It was described by Vincenz Kollar in 1844.
Stegasta variana | Species of moth | species of insect | Stegasta variana is a species of moth of the family Gelechiidae.
Stigmatophora acerba | Species of moth | species of insect | Stigmatophora acerba is a moth in the family Erebidae. It was described by John Henry Leech in 1899.
Stigmatophora chekiangensis | Species of moth | species of insect | Stigmatophora chekiangensis is a moth in the subfamily Arctiinae. It was described by Franz Daniel in 1951.
Stigmatophora confusa | Species of moth | species of insect | Stigmatophora confusa is a moth in the subfamily Arctiinae. It was described by Franz Daniel in 1951.
Stigmatophora conjuncta | Species of moth | species of insect | Stigmatophora conjuncta is a moth in the subfamily Arctiinae. It was described by Cheng-Lai Fang in 1991.
Stigmatophora grisea | Species of moth | species of insect | Stigmatophora grisea is a moth in the subfamily Arctiinae. It was described by Hering in 1936.
Stigmatophora hainanensis | Species of moth | species of insect | Stigmatophora hainanensis is a moth in the subfamily Arctiinae. It was described by Cheng-Lai Fang in 1991.
Stigmatophora likiangensis | Species of moth | species of insect | Stigmatophora likiangensis is a moth in the subfamily Arctiinae. It was described by Franz Daniel in 1951.
Stigmatophora obraztsovi | Species of moth | species of insect | Stigmatophora obraztsovi is a moth in the subfamily Arctiinae. It was described by Franz Daniel in 1951.
Stigmatophora rubivena | Species of moth | species of insect | Stigmatophora rubivena is a moth in the subfamily Arctiinae. It was described by Cheng-Lai Fang in 1991.
Stigmella circumargentea | Species of moth | species of insect | Stigmella circumargentea is a moth of the family Nepticulidae. It is only known from Yunnan.The wingspan is about 6.
Stigmella fervida | Species of moth | species of insect | Stigmella fervida is a moth of the family Nepticulidae. It is found in Russia Primorskiy Kray and China Heilongjiang.
Stigmella kao | Species of moth | species of insect | Stigmella kao is a moth of the family Nepticulidae. It is only known from Yunnan, China.The wingspan is .
Stigmella lithocarpella | Species of moth | species of insect | Stigmella lithocarpella is a moth of the family Nepticulidae. It is only known from Yunnan.The wingspan is about 6.1 mm.
Stigmella vandrieli | Species of moth | species of insect | Stigmella vandrieli is a moth of the family Nepticulidae. It is only known from Yunnan, China.The wingspan is 4.9-5.
Streltzovia | Genus of moths | genus of insects | Streltzovia is a genus of moths in the subfamily Arctiinae from East Asia.
Syllepte amoyalis | Species of moth | species of insect | Syllepte amoyalis is a moth in the family Crambidae. It was described by Aristide Caradja in 1925. It is found in China.
Syllepte capnosalis | Species of moth | species of insect | Syllepte capnosalis is a moth in the family Crambidae. It was described by Aristide Caradja in 1925.
Syllepte fuscoinvalidalis | Species of moth | species of insect | Syllepte fuscoinvalidalis is a moth in the family Crambidae. It was described by Hiroshi Yamanaka in 1959.
Syllepte fuscomarginalis | Species of moth | species of insect | Syllepte fuscomarginalis is a moth in the family Crambidae. It was described by John Henry Leech in 1889.
Syllepte hoenei | Species of moth | species of insect | Syllepte hoenei is a moth in the family Crambidae. It was described by Aristide Caradja in 1925. It is found in China.
Syllepte invalidalis | Species of moth | species of insect | Syllepte invalidalis is a moth in the family family Crambidae. It was described by South in 1901. It is found in China.
Syllepte lucidalis | Species of moth | species of insect | Syllepte lucidalis is a moth in the family Crambidae. It was described by Aristide Caradja in 1925.
Syllepte ningpoalis | Species of moth | species of insect | Syllepte ningpoalis is a moth in the family Crambidae. It was described by John Henry Leech in 1889.
Syllepte pallidinotalis | Species of moth | species of insect | Syllepte pallidinotalis is a moth in the family Crambidae. It was described by George Hampson in 1912.
Syllepte proctizonalis | Species of moth | species of insect | Syllepte proctizonalis is a moth in the family Crambidae. It was described by George Hampson in 1918.
Syllepte rhyparialis | Species of moth | species of insect | Syllepte rhyparialis is a moth in the family Crambidae. It was described by Oberthr in 1893. It is found in China.
Synersaga breviclavata | Species of moth |  | Synersaga breviclavata is a moth in the family Lecithoceridae. It is found in China Shaanxi.
Synersaga brevidigitata | Species of moth |  | Synersaga brevidigitata is a moth in the family Lecithoceridae. It is found in China Yunnan.
Talis cornutella | Species of moth | species of insect | Talis cornutella is a moth in the family Crambidae. It is found in China Xinjiang.
Talis erenhotica | Species of moth | species of insect | Talis erenhotica is a moth in the family Crambidae. It is found in China Inner Mongolia.
Talis qinghaiella | Species of moth | species of insect | Talis qinghaiella is a moth in the family Crambidae. It is found in China Qinghai.
Teliphasa erythrina | Species of moth | species of insect | Teliphasa erythrina is a species of moth of the family Pyralidae. It is found in China Yunnan.
Teliphasa hamata | Species of moth | species of insect | Teliphasa hamata is a species of moth of the family Pyralidae. It is found in China Fujian, Guangxi, Yunnan.
Teliphasa similalbifusa | Species of moth | species of insect | Teliphasa similalbifusa is a species of moth of the family Pyralidae. It is found in China Guangxi.
Thitarodes baimaensis | Species of moth | species of insect | Thitarodes baimaensis is a species of moth of the family Hepialidae.
Thitarodes bibelteus | Species of moth | species of insect | Thitarodes bibelteus is a species of moth of the family Hepialidae. It is found in Yunnan, China.
Thitarodes biruensis | Species of moth | species of insect | Thitarodes biruensis is a species of moth of the family Hepialidae. It is found in Xizang, China.
Thitarodes deqinensis | Species of moth | species of insect | Thitarodes deqinensis is a species of moth of the family Hepialidae. It is found in Yunnan, China.
Thitarodes latitegumenus | Species of moth | species of insect | Thitarodes latitegumenus is a species of moth of the family Hepialidae. It is found in Yunnan, China.
Thitarodes pui | Species of moth | species of insect | Thitarodes pui is a species of moth of the family Hepialidae. It is found in Tibet, China.
Tortrix sinapina | Species of moth | species of insect | Tortrix sinapina, the Japanese oak leafroller, is a species of moth of the family Tortricidae.
Trichophysetis aurantidiscalis | Species of moth | species of insect | Trichophysetis aurantidiscalis is a moth in the family Crambidae. It is found in China.
Trichophysetis bipunctalis | Species of moth | species of insect | Trichophysetis bipunctalis is a moth in the family Crambidae. It is found in China.
Trichophysetis hampsoni | Species of moth | species of insect | Trichophysetis hampsoni is a moth in the family Crambidae. It is found in China.
Trifurcula sinica | Species of moth | species of insect | Trifurcula sinica is a moth of the family Nepticulidae. It was described by Yang in 1989.
Udea albostriata | Species of moth | species of insect | Udea albostriata is a moth in the family Crambidae. It was first described by Zhang and Li in 2016.
Udea curvata | Species of moth | species of insect | Udea curvata is a moth in the family Crambidae. It was first described by Zhang and Li in 2016.
Ugia insuspecta | Species of moth | species of insect | Ugia insuspecta is a species of moth in the family Erebidae.
Vladimirea krasilnikovae | Species of moth | species of insect | Vladimirea krasilnikovae is a moth in the family Gelechiidae. It was described by Alexandr L. Lvovsky and Vladimir I.
Xestia caelebs | Species of moth | species of insect | Xestia caelebs is a moth of the family Noctuidae. It is known from Xinjiang.
Ypsolopha atrobrunnella | Species of moth | species of insect | Ypsolopha atrobrunnella is a moth of the family Ypsolophidae.
Ypsolopha costibasella | Species of moth | species of insect | Ypsolopha costibasella is a moth of the family Ypsolophidae.
Ypsolopha diana | Species of moth | species of insect | Ypsolopha diana is a moth of the family Ypsolophidae. It is known from China.
Ypsolopha helva | Species of moth | species of insect | Ypsolopha helva is a moth of the family Ypsolophidae. It is known from north-western China.
Ypsolopha lutisplendida | Species of moth | species of insect | Ypsolopha lutisplendida is a moth of the family Ypsolophidae. It is known from north-western China.
Ypsolopha melanocnista | Species of moth | species of insect | Ypsolopha melanocnista is a moth of the family Ypsolophidae. It is known from Yunnan in China.
Ypsolopha mienshani | Species of moth | species of insect | Ypsolopha mienshani is a moth of the family Ypsolophidae. It is known from Shanxi in China.
Ypsolopha parodaula | Species of moth | species of insect | Ypsolopha parodaula is a moth of the family Ypsolophidae. It is known from Yunnan in China.
Ypsolopha rhytidota | Species of moth | species of insect | Ypsolopha rhytidota is a moth of the family Ypsolophidae. It is known from Yunnan in China.
Ypsolopha sordida | Species of moth | species of insect | Ypsolopha sordida is a moth of the family Ypsolophidae. It is known from southern China.
Ypsolopha yangi | Species of moth | species of insect | Ypsolopha yangi is a moth of the family Ypsolophidae.
Zebronia ornatalis | Species of moth | species of insect | Zebronia ornatalis is a moth in the family Crambidae. It was described by John Henry Leech in 1889.
